name,id,smc section,rhb section,f section,height m,height f,map 50,map 25,gref,gref2,x,y,air_closest,air_closest_x,air_closest_y,air_closest_pass_scotland,air_closest_pass_AF,air_closest_pass_AS,air_closest_pass_CA,air_closest_pass_EU,air_closest_pass_NA,air_closest_pass_OC,air_closest_pass_SA,air_closest_total,road_closest,road_closest_type,road_closest_numbers_2019_daily_av,road_closest_distance_m,road_closest_angle,road_closest_x,road_closest_y,station_closest_name,station_closest_line,station_closest_x,station_closest_y,station_closest_route_max_4_weeks,station_closest_route_commuter,station_closest_route_off peak,station_closest_route_peak,station_closest_route_total,station_closest_route_percent off peak
Ben Macdui [Beinn Macduibh],152,8,08A,8,1309,4295,36 43,OL57S 403S,NN988989,NN9889998943,298899,798943,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,B970,B Road,744.9473684,15985.46438,124.3323172,289883.3274,812143.4817,Aviemore,HGL2,289601.3314,812556.3719,2019/P08,31868,200738,112875,4085,0.576131615
Ben More,5,1,01C,1.3,1174,3852,51,OL46N 365N,NN432244,NN4327624417,243276,724417,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A85,A Road,7041.860941,4365.518994,171.9426673,238953.5761,725028.8883,Crianlarich,WHL,238458.5119,725098.9703,2019/P08,31868,200738,112875,9093,0.576131615
Ben More,282,17,17E,17.5,966,3169,47 48,375W,NM525330,NM5257633078,152576,733078,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,B8035,B Road,,32848.43242,354.4879,185272.5391,729922.7122,Oban,OBN2,185770.2271,729874.6842,2019/P08,31868,200738,112875,9093,0.576131615
Ben More Assynt,268,16,16E,16.5,998,3274,15,442E,NC318201,NC3183020150,231830,920150,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A837,A Road,398.8571429,30520.08379,328.4874626,257849.1592,904197.6062,Lairg,WCK,258275.4221,903936.2636,2019/P08,31868,200738,112875,4085,0.576131615
Ben Nevis,73,4,04A,4.1,1344.53,4411,41,392,NN166712,NN1666671288,216666,771288,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A82,A Road,12752.39019,6270.048871,154.6487153,210999.7589,773972.6275,Fort William,WHL,210547.9091,774186.711,2019/P08,31868,200738,112875,4085,0.576131615
Ben Oss,13,1,01D,1.4,1029,3376,50,OL39N 364N 377E,NN287253,NN2876125348,228761,725348,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A85,A Road,7041.860941,5743.480599,49.98472037,232454.0114,729746.7767,Tyndrum Lower,OBN2,232775.5073,730129.7132,2019/P08,31868,200738,112875,9093,0.576131615
Ben Starav,65,3,03C,3.3,1078,3537,50,377W,NN125427,NN1257342709,212573,742709,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,B8077,B Road,,14747.6981,269.4575331,212433.3733,727961.9629,Loch Awe,OBN2,212428.6395,727461.9853,2019/P08,31868,200738,112875,9093,0.576131615
Ben Vane,18,1,01D,1.4,915.76,3004,56,OL39S 364S,NN277098,NN2775409844,227754,709844,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A83,A Road,2596.6,5819.400569,302.3791234,230870.4002,704929.3818,Arrochar & Tarbet,WHL,231138.1598,704507.1202,2019/P08,31868,200738,112875,9093,0.576131615
Ben Vorlich,2,1,01B,1.2,985,3232,57,OL46N OL47W 365N 368W,NN629189,NN6291118916,262911,718916,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A85,A Road,7041.860941,22995.43625,310.2618817,277772.5421,701368.2179,Dunblane,SCM3,278095.6832,700986.6687,2019/P08,31868,200738,112875,9093,0.576131615
Ben Vorlich,16,1,01D,1.4,943,3094,50 56,OL39N OL39S 364N 364S,NN295124,NN2950912474,229509,712474,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,3237.082048,54.14872229,231404.9049,715097.7844,Ardlui,WHL,231697.7466,715503.0544,2019/P08,31868,200738,112875,9093,0.576131615
